AIRLINE_ID,ORIGIN_AIRPORT_ID,DEST_AIRPORT_ID,CLASS,PASSENGERS,REGION
20500,11292,11003,F,281,D
20500,11292,12339,F,308,D
20500,12339,11292,F,328,D
20304,10620,11292,F,163,D
20304,11292,10397,F,359,D
20304,11292,10620,F,180,D
20304,11292,11042,F,365,D
20304,11292,11413,F,280,D
20304,11292,11648,F,314,D
20304,11292,12278,F,364,D
20304,11292,13198,F,228,D
20304,11292,13244,F,299,D
20304,11292,13433,F,192,D
20304,11292,13871,F,142,D
20304,11292,14689,F,197,D
20304,11413,11292,F,230,D
20304,13198,11292,F,335,D
20304,13244,11292,F,357,D
20304,14262,11292,F,124,D
20304,14869,11292,F,201,D
19977,10713,11292,F,738,D
19977,11057,11292,F,852,D
19977,11292,10821,F,581,D
19977,11292,11003,F,461,D
19977,11292,11057,F,813,D
19977,11292,11193,F,500,D
19977,11292,11618,F,1483,D
19977,11292,11884,F,528,D
19977,11292,13264,F,632,D
19977,11292,13891,F,602,D
19977,11292,14831,F,694,D
19977,11292,14893,F,592,D
19977,11292,15376,F,490,D
19977,11697,11292,F,823,D
19977,11884,11292,F,564,D
19977,13198,11292,F,697,D
19977,13851,11292,F,804,D
19977,13891,11292,F,656,D
19977,14057,11292,F,699,D
19977,14747,11292,F,605,D
19977,14831,11292,F,613,D
19977,15376,11292,F,619,D
19393,10693,11292,F,619,D
19393,11292,12954,F,633,D
19393,11292,13487,F,665,D
19393,11292,15016,F,697,D
19393,12191,11292,F,686,D
19393,12954,11292,F,673,D
19393,13851,11292,F,715,D
19393,14122,11292,F,821,D
19393,15016,11292,F,700,D
20452,15016,11292,F,331,D
20436,11292,14107,F,877,D
20436,14107,11292,F,1091,D
20422,13487,11292,F,653,D
20237,11292,11003,F,209,D
20358,11233,11292,F,14,D
20358,11292,11233,F,13,D
20500,11292,13244,F,387,D
20500,13487,11292,F,390,D
20500,13502,13930,F,349,D
20500,13930,13502,F,332,D
20304,10397,11292,F,382,D
20304,11042,11292,F,421,D
20304,11109,12892,F,363,D
20304,11292,11057,F,412,D
20304,11292,13264,F,272,D
20304,11292,13964,F,190,D
20304,11423,11292,F,330,D
20304,11648,11292,F,329,D
20304,12278,11292,F,384,D
20304,13244,11292,F,392,D
20304,13433,11292,F,325,D
20304,13964,11292,F,222,D
20304,14489,11292,F,300,D
20304,14689,11292,F,248,D
20304,15370,11292,F,382,D
20304,15376,11292,F,375,D
19977,10423,11292,F,937,D
19977,11292,11433,F,850,D
19977,11292,11986,F,727,D
19977,11292,12339,F,930,D
19977,11292,13198,F,795,D
19977,11292,13342,F,780,D
19977,11292,13495,F,811,D
19977,11618,11292,F,2053,D
19977,12339,11292,F,954,D
19977,12339,11292,F,755,D
19977,13264,11292,F,755,D
19977,13342,11292,F,817,D
19977,14100,11292,F,761,D
19393,11292,11697,F,801,D
19393,11292,12451,F,1157,D
19393,11292,13198,F,989,D
19393,11292,13796,F,753,D
19393,11292,13851,F,994,D
19393,12451,11292,F,915,D
19393,14771,11292,F,885,D
19393,14869,11292,F,1002,D
20452,10397,11292,F,398,D
20452,11292,10397,F,308,D
20452,11292,11298,F,400,D
20452,11292,13871,F,387,D
20452,11292,14730,F,397,D
20107,11109,11921,G,0,D
20107,11292,13244,G,0,D
20107,11292,13244,G,0,D
20107,11921,11109,G,0,D
20107,13244,11292,G,0,D
20237,11292,11775,F,251,D
20368,11921,12889,F,921,D
20368,12889,11921,F,858,D
20500,11292,15412,F,453,D
20500,15412,11292,F,450,D
20304,10423,11292,F,419,D
20304,10561,11292,F,448,D
20304,11057,11292,F,503,D
20304,11292,11921,F,430,D
20304,11292,14524,F,489,D
20304,14524,11292,F,480,D
19977,10620,11292,F,843,D
19977,10713,11292,F,877,D
19977,10800,11292,F,630,D
19977,11292,10620,F,904,D
19977,11292,10713,F,862,D
19977,11292,10800,F,701,D
19977,11292,11423,F,869,D
19977,11292,11603,F,802,D
19977,11292,11603,F,706,D
19977,11292,13342,F,1153,D
19977,11292,13851,F,772,D
19977,11292,14122,F,761,D
19977,11292,14869,F,780,D
19977,11423,11292,F,1034,D
19977,11603,11292,F,938,D
19977,13198,11292,F,895,D
19977,13342,11292,F,1158,D
19977,14100,11292,F,1054,D
19977,14122,11292,F,807,D
19977,15370,11292,F,844,D
19393,10423,11292,F,953,D
19393,11042,11292,F,1150,D
19393,11292,11618,F,1144,D
19393,11292,14193,F,944,D
19393,11292,14492,F,1152,D
19393,14193,11292,F,959,D
19393,15370,11292,F,928,D
20237,11003,11292,F,290,D
